AdvActionMAPAgent	401	(2,6) > 10 > (4,5) > (4,5)	
292	(9,3) > 5 > (4,2) > (4,2)	
674	(2,0) > 8 > (0,5) > (0,5)	
55	(5,6) > 4 > (2,9) > (2,9)	
63	(5,4) > 9 > (5,3) > (5,3)	
17	(1,5) > 10 > (8,6) > (8,6)	
1114	(5,9) > 10 > (6,9) > (6,9)	
108	(0,9) > 12 > (7,2) > (7,2)	
16000		

AdvActionMAPRepAgent	248	(2,6) > 10 > (4,5) > (4,5)	
556	(9,3) > 5 > (4,2) > (4,2)	
678	(2,0) > 8 > (0,5) > (0,5)	
59	(5,6) > 4 > (2,9) > (2,9)	
65	(5,4) > 9 > (5,3) > (5,3)	
19	(1,5) > 10 > (8,6) > (8,6)	
1118	(5,9) > 10 > (6,9) > (6,9)	
110	(0,9) > 12 > (7,2) > (7,2)	
16000		

BasicActionMAPAgent	294	(2,6) > 10 > (4,5) > (4,5)	
638	(9,3) > 5 > (4,2) > (4,2)	
680	(2,0) > 8 > (0,5) > (0,5)	
62	(5,6) > 4 > (2,9) > (2,9)	
285	(5,4) > 9 > (5,3) > (5,3)	
127	(1,5) > 10 > (8,6) > (8,6)	
1120	(5,9) > 10 > (6,9) > (6,9)	
113	(0,9) > 12 > (7,2) > (7,2)	
16000		

HelperInitActionMAPAgent	131	(2,6) > 10 > (4,5) > (4,5)	
644	(9,3) > 5 > (4,2) > (4,2)	
439	(2,0) > 8 > (0,5) > (0,5)	
5	(5,6) > 4 > (2,9) > (2,9)	
209	(5,4) > 9 > (5,3) > (5,3)	
46	(1,5) > 10 > (8,6) > (8,6)	
1024	(5,9) > 10 > (6,9) > (6,9)	
54	(0,9) > 12 > (7,2) > (7,2)	
16000		

NoHelpAgent	319	(2,6) > 9 > (2,4) > (4,5)	
566	(9,3) > 4 > (4,2) > (4,2)	
688	(2,0) > 5 > (0,5) > (0,5)	
68	(5,6) > 3 > (2,9) > (2,9)	
299	(5,4) > 9 > (6,3) > (5,3)	
139	(1,5) > 10 > (7,6) > (8,6)	
1128	(5,9) > 10 > (6,9) > (6,9)	
128	(0,9) > 12 > (7,3) > (7,2)	
10100		

NoHelpRepAgent	318	(2,6) > 9 > (2,4) > (4,5)	
566	(9,3) > 4 > (4,2) > (4,2)	
688	(2,0) > 5 > (0,5) > (0,5)	
68	(5,6) > 3 > (2,9) > (2,9)	
298	(5,4) > 9 > (6,3) > (5,3)	
138	(1,5) > 10 > (7,6) > (8,6)	
1128	(5,9) > 10 > (6,9) > (6,9)	
127	(0,9) > 12 > (7,3) > (7,2)	
10100		



AdvActionMAPAgent	401	(2,6) > 10 > (4,5) > (4,5)	
292	(9,3) > 5 > (4,2) > (4,2)	
674	(2,0) > 8 > (0,5) > (0,5)	
55	(5,6) > 4 > (2,9) > (2,9)	
63	(5,4) > 9 > (5,3) > (5,3)	
17	(1,5) > 10 > (8,6) > (8,6)	
1114	(5,9) > 10 > (6,9) > (6,9)	
108	(0,9) > 12 > (7,2) > (7,2)	
16000		

